Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Year
Nifty 50 (National Stock Exchange of India),2023-01-02,18131.69921875,18215.150390625,18086.5,18197.44921875,18197.44921875,256100.0,2023
"BSE SENSEX (Bombay Stock Exchange, India)",2023-01-02,60871.23828125,61222.7890625,60764.62890625,61167.7890625,61167.7890625,18500.0,2023
Euronext 100 (European Stock Exchange),2023-01-02,1232.6199951171875,1252.8800048828125,1232.6199951171875,1252.02001953125,1252.02001953125,0.0,2023
NYSE Composite (New York Stock Exchange),2023-01-03,15184.3095703125,15327.5302734375,15053.169921875,15154.4501953125,15154.4501953125,3959140000.0,2023
NASDAQ Composite,2023-01-03,10562.0595703125,10613.0595703125,10309.16015625,10386.98046875,10386.98046875,4780650000.0,2023
"FTSE 100 Index (Financial Times Stock Exchange, UK)",2023-01-03,7451.7001953125,7626.39990234375,7448.7001953125,7554.10009765625,7554.10009765625,914070400.0,2023
Nifty 50 (National Stock Exchange of India),2023-01-03,18163.19921875,18251.94921875,18149.80078125,18232.55078125,18232.55078125,208700.0,2023
"BSE SENSEX (Bombay Stock Exchange, India)",2023-01-03,61074.87890625,61343.9609375,61004.0390625,61294.19921875,61294.19921875,6700.0,2023
SSE Composite Index (Shanghai Stock Exchange),2023-01-03,3087.510009765625,3119.860107421875,3073.050048828125,3116.510009765625,3116.510009765625,281400.0,2023
Euronext 100 (European Stock Exchange),2023-01-03,1251.97998046875,1272.93994140625,1251.449951171875,1257.3599853515625,1257.3599853515625,172781700.0,2023
Dow Jones Industrial Average (USA),2023-01-03,33148.8984375,33387.51953125,32850.5703125,33136.37109375,33136.37109375,355930000.0,2023
S&P 500 Index (USA),2023-01-03,3853.2900390625,3878.4599609375,3794.330078125,3824.139892578125,3824.139892578125,3959140000.0,2023
Gold Futures,2023-01-03,1836.199951171875,1839.699951171875,1836.199951171875,1839.699951171875,1839.699951171875,29.0,2023
Crude Oil Futures,2023-01-03,80.56999969482422,81.5,76.5999984741211,76.93000030517578,76.93000030517578,338520.0,2023
NYSE Composite (New York Stock Exchange),2023-01-04,15154.4501953125,15407.599609375,15154.4501953125,15350.2998046875,15350.2998046875,4414080000.0,2023
